69,Moulmein Rd,300069,01 Jul 1972
10,Gloucester Rd,210010,01 Nov 1976
44,Owen Rd,210044,01 Jun 1979
46,Owen Rd,210046,01 Nov 1982
41,Cambridge Rd,210041,01 Jun 1982
42,Cambridge Rd,210042,01 Jun 1982
43,Cambridge Rd,210043,01 Jun 1982
50,Dorset Rd,210050,01 Jun 1979
51,Kent Rd,210051,01 May 1982
52,Kent Rd,210052,01 May 1982
54,Kent Rd,210054,01 Jun 1982
48,Dorset Rd,210048,01 Jul 1976
681,Race Course Rd,210681,01 Dec 1986
682,Race Course Rd,210682,01 May 1986
683,Tessensohn Rd,210683,01 Dec 1986
684,Race Course Rd,210684,01 Jan 1986
685,Race Course Rd,210685,01 Jan 1986
122,Mcnair Rd,320122,01 Apr 1987
9,Gloucester Rd,210009,01 Nov 1976
48A,Dorset Rd,211048,01 Jul 1976
49,Dorset Rd,210049,01 Jun 1979
53,Kent Rd,210053,01 May 1982
119,Mcnair Rd,320119,01 Sep 1987
120,Mcnair Rd,320120,01 Apr 1987
121,Mcnair Rd,320121,01 Jun 1987
123,Mcnair Rd,320123,01 Apr 1987
124,Mcnair Rd,320124,01 Jun 1987
37,Cambridge Rd,210037,01 Nov 1997
38,Cambridge Rd,210038,01 Nov 1997
39,Cambridge Rd,210039,01 Nov 1997
40,Cambridge Rd,210040,01 Aug 1997
11,Farrer Pk Rd,210011,01 Jun 2004
12,Farrer Pk Rd,210012,01 Jun 2004
108B,Mcnair Rd,323108,01 Nov 2004
108C,Mcnair Rd,324108,01 Jan 2005
23,Bendemeer Rd,330023,01 Jan 1972
24,Bendemeer Rd,330024,01 Jan 1972
30,Bendemeer Rd,330030,01 Jan 1972
26,Bendemeer Rd,330026,01 Jan 1972
28,Bendemeer Rd,330028,01 Jan 1972
34,Whampoa West,330034,01 Jan 1972
11,Upp Boon Keng Rd,380011,01 Jan 1974
65,Kallang Bahru,330065,01 Jan 1981
12,Upp Boon Keng Rd,380012,01 Oct 1980
13,Upp Boon Keng Rd,380013,01 Jun 1999
14,Upp Boon Keng Rd,380014,01 May 1999
16,Upp Boon Keng Rd,380016,01 Feb 1975
41,Sims Dr,380041,01 Mar 1981
38,Upp Boon Keng Rd,380038,01 Aug 1976
101,Towner Rd,322101,01 May 1983
104,Towner Rd,322104,01 May 1983
